time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448450000	20.1462	14.0088	4.84064	1.78864	0.583296	radar	0	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0914	14.2626	4.86803	1.81657	0.579089	lidar	0	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0196	14.4926	4.86481	1.84303	0.551256	radar	0	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.911	14.746	4.91108	1.88713	0.571748	lidar	0	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8444	14.9658	4.88771	1.88688	0.448044	radar	0	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8208	15.1839	4.84346	1.8867	0.419371	lidar	0	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6862	15.3902	4.83201	2.02846	0.925135	radar	0	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6516	15.5743	4.74694	2.04493	0.887528	lidar	0	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5652	15.781	4.72433	2.04403	0.704427	radar	0	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4573	15.9923	4.72684	2.07733	0.701305	lidar	0	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3581	16.204	4.72112	2.05965	0.47228	radar	0	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2506	16.3818	4.67723	2.08632	0.481174	lidar	0	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1321	16.5775	4.66997	2.11962	0.522272	radar	0	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0035	16.7884	4.69165	2.14475	0.519237	lidar	0	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8476	16.9769	4.70738	2.24474	0.843088	radar	0	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6681	17.2083	4.79775	2.28668	0.835709	lidar	0	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5686	17.4188	4.76682	2.20216	0.32296	radar	0	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3602	17.6136	4.82831	2.24088	0.348828	lidar	0	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.218	17.805	4.82418	2.23106	0.228059	radar	0	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0967	17.9984	4.80437	2.2318	0.213983	lidar	0	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9173	18.146	4.78196	2.32061	0.529068	radar	0	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7897	18.2909	4.71259	2.34089	0.521942	lidar	0	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6561	18.4713	4.69657	2.34686	0.475854	radar	0	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4637	18.6553	4.74477	2.37425	0.478581	lidar	0	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.282	18.7944	4.72965	2.42944	0.600085	radar	0	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1202	18.9304	4.69167	2.45798	0.600364	lidar	0	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.954	19.1014	4.6993	2.46137	0.515968	radar	0	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.736	19.2164	4.70274	2.50689	0.544673	lidar	0	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5468	19.3693	4.72011	2.53565	0.572539	radar	0	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3202	19.5297	4.78584	2.56275	0.56501	lidar	0	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0992	19.611	4.76406	2.62786	0.672086	radar	0	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8907	19.7523	4.79078	2.65127	0.655281	lidar	0	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7013	19.8809	4.76549	2.62051	0.385293	radar	0	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4718	20.0382	4.8308	2.62922	0.36461	lidar	0	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2582	20.1787	4.85692	2.64181	0.36671	radar	0	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.072	20.315	4.84175	2.6459	0.346945	lidar	0	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.841	20.3934	4.83805	2.70598	0.499358	radar	0	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6255	20.5136	4.84976	2.72209	0.486498	lidar	0	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3894	20.5997	4.86574	2.77608	0.611181	radar	0	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1411	20.6702	4.88229	2.81534	0.622969	lidar	0	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9067	20.7426	4.88646	2.85515	0.661645	radar	0	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6301	20.801	4.93822	2.89712	0.670743	lidar	0	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3879	20.8317	4.93299	2.96473	0.803332	radar	0	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1383	20.8639	4.93795	3.00827	0.807806	lidar	0	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9092	20.9275	4.92253	3.00325	0.642325	radar	0	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.707	20.9673	4.86851	3.02833	0.637558	lidar	0	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4558	21.0106	4.88889	3.04405	0.584899	radar	0	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2069	21.0474	4.90527	3.06588	0.572003	lidar	0	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9704	21.0672	4.89753	3.09575	0.587669	radar	0	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7275	21.0348	4.87892	3.14374	0.617181	lidar	0	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
